=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2021.09.06 06:20:04 =~=~=~=~=~=~=~=~=~=~=~=
SRBBRACQRATime (ms), est SampleSize, MQ-6 - LPG Butane, MQ-6- min, MQ-6- max, MQ-136 - Hydrogen Sulphide Gas, MQ-136- min, MQ-136- max, MQ-135 - Air Quality (Benzene Alcohol Smoke), MQ-135- min, MQ-135- max, MQ-9 - Carbon Monoxide FlammableGasses, MQ-9- min, MQ-9- max, MQ-7 - Carbon Monoxide, MQ-7- min, MQ-7- max, MQ-4 - Methane CNGGas, MQ-4- min, MQ-4- max, MQ-3 - Alcohol Ethanol Smoke, MQ-3- min, MQ-3- max, Comment
3000,  3729,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  31,  0,  0,  0,  
6000,  3763,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  6,  0,  0,  0,  
9000,  3764,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  7,  0,  0,  0,  
11814,  3529,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  6,  0,  0,  0,  Sample Size 1 sec
12814,  1249,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  6,  0,  0,  0,  
13814,  1252,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  6,  0,  0,  0,  
14814,  1251,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  6,  0,  0,  0,  
15814,  1252,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  5,  0,  0,  0,  
16814,  1251,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  6,  0,  0,  0,  
17814,  1252,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  5,  0,  0,  0,  
18814,  1252,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  6,  0,  0,  0,  test
19814,  1250,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  6,  0,  0,  0,  
20814,  1252,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  5,  0,  0,  0,  
21814,  1251,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  6,  0,  0,  0,  
